sentences,label,quality
34InnovationforGcodHealth持续创新乐享健康研发成果截至2022年底本集团在研创新药一数性评价项目21个,科技创新,定量文本
研发投入复星医药集团2022年研发投入58.85药业务的研发投入为50.97亿元同比增长亿元含资本化开支同比增长超过13.62,科技创新,定量文本
高度重视国家安全审查反垄断知识产权信息披露等涉外法律合规风险防控坚持涉外法律合规风险排查联席会议和月度报告机制做好风险防范应对,法律诉讼与外部处分,定性文本
EHS文化在EHS文化建设方面复星医药集团继续强化高层重视中层推进全员参与底般化到人通过系列活动进一步夯实成员企业的EHS管理,环境政策,定性文本
丰富员工培训方式全年共组织重点培训项目33个54期次培训5732人次网络学院累计培训6375520人次学习时长超6000万学时,员工,定量文本
深入实施春蕾加油站司机之家爱心驿站等社会公益项目秉承回报当地为繁荣当地经济做贡献的信念开展国际业务持续提升负责任国际化公司形象,公益和志愿服务,定性文本
作环保运营维护累计投入10998.9万元主要集中在污水废气等环保设施的运行和废在安全投入方面2022年本集团职业弃物处置等方面,废弃物管理,定量文本
公司主动拥抱新能源汽车电动化智能化网联化发展趋势依托加油站位置优势持续推进充换电网络建设规划到2025年建设充换电站5000座,能源与资源消耗,定量文本
激励机制创业合伙人迪马股份牵头研讨并制定迪马股份创业合伙人机制指引鼓励内部创业并激发团队创业精神及主观能动性以促进员工共同成长,员工,定性文本
按需制定专项福利除了保证每位员工的法定福利外公司还为员工发放生日节假日福利交通补贴通讯补贴防暑降温补贴生病住院慰问金结婚礼金等,员工,定性文本
迪马工业在人员招聘工作中始终坚持公平就业平等就业的原则按照公司招聘管理制度规范管理并为不同性别年龄地域民族的人提供平等竞聘机会,促进就业,定性文本
迪马工业派遣工程师圆满完成2022年二十大服务保障任务2018年埃及国防部采购了迪马工业制造的通信指挥车对产品使用效果非常满意,产品质量,定性文本
开展闲置土地退出和复垦对废弃井场等闲置工矿土地的井控安全和环境风险进行论证评估筛选无安全环保风险的闲置土地有序进行土地分类退出,土地利用,定性文本
董事会战略委员会审计委员会可持续发展委员会负责审议应对气候变化相关发展规划政策和制度就公司的战略定位产业布局等向董事会提出建议,应对气候变化,定性文本
公司深入实施科改示范行动8家直属研究院在优化创新文化体系明晰科研主攻方向探索管理创新模式等方面取得实质进展创新动力活力持续提升,科技创新,定性文本
实体风险慢性风险降雨量变化气候极端波动长期平均温度升高等可能导致公司基建成本升高如工期延长设备提前耗损设备及人员的保险费用提高,应对气候变化,定性文本
公司在不断规范供应商管理流程的同时不断加强供应链社会责应商经过公司的社会责任评估未发现涉及劳工争议环境违规等方面的重大违规事件,供应链管理,定量文本
扎实开展作风再整顿活动采用四不两直检查考核方式针对关键岗位和人员有限空间作业等八大作业凌层15点重点时段加大监督检查和考核力度,员工,定性文本
并于8月修订了安全管理微信公众号运行管理办法对基层各单位及职能部门每季度答题满85分以上分神马帝子布举办新冠肺炎疫情肪控培训班,抗疫,定性文本
公司及主要子公司均编制了突发环境事件应急预重视环保宣教案并报送至当地环保部门进行备案并定期组织进行演练确保方案的有效性和可行性,环境政策,定性文本
推出全市场首个碳中和指数挂钩收益凭证产品安泰回报系列888期收益凭证聚焦于绿色投资赛道为投资者提供了一站式绿色资产配置解决方案,绿色金融,定性文本
为回应监管要求及国际资本市场关注重点展示公司在数据质量管理与隐私保护层面的实践情况将原信息安全议题扩展延伸为数据安全与隐私保护,数据安全,定性文本
同时工会与集团纪委联合开展翰墨展廉韵书画扬清风廉洁主题书画作品线上展共征集职工原创书画作品52幅评选出优秀作品和入围作品33幅,反贪污反洗钱,定量文本
06稳健运营一规范经营71中信证券2022年度社会责任报告层面内容及指标索引B6产品责任B6.4描述质量检定过程及产品回收程序,产品质量,定性文本
公司董事候选人的甄选基于多个多元化指标包括但不限于性别年龄文化教育背景行业经验技术能力专业资格及技能知识服务年限及其他相关因素,组织架构与运作,定性文本
公司坚持不懈强化创新理论武装认真学习贯彻习近平新时代中国特色社会主义思想推动理论学习全覆盖2022年累计组织2万余人次参加学习,科技创新,定量文本
有效加强内外部监督合力重点围绕企业核心业务运行重大经济行为及关键风险领域等方面实施开展内控评价专项审计和经济责任审计等审计项目,审计工作,定性文本
风险防控上海电气集团股份有限公司45总结与回顾2018年以来集团制度建设和执行情况分析内控薄弱环节提出下一步建设目标和改进措施,法律诉讼与外部处分,定性文本
公司面向所有员工聚焦不同岗位与关键能力构建出一套全流程多维度的员工培训机制为员工提供多样化的学习内容助力公司人才发展和梯队建设,员工,定性文本
同时公司工会在线上开展古典舞蹈女性修养提升摄影展等主题活动形式丰富多彩共计一万余名女员工参与活动提升了女性员工的工作生活幸福感,员工,定量文本
在强化各层级环保整改闭环跟踪管理的基础上我们结合年度环境保护治理工作方案顺利在报告期内完成上海电气集团环境保护治理三年行动计划,环境政策,定性文本
2022年公司共开展重点培训项目33个培训员工5732人次中国石化网络学院累计培训6375520人次学习时长超过6000万学时,员工,定量文本
二是研发上线消保审查系统实现系统功能在全行各分支机构的全覆盖为全行消保审查的全流程管控提供了基础平台提升审查专业化和数字化水平,客户与消费者,定性文本
设立年休假探亲假婚丧假产假哺乳假病假工伤假等休假种类优化调整延长生育假男员工陪产假夫妻育儿假等制度政策充分保障员工休息休假权利,员工,定性文本
畅通员工职业发展通道构建简洁清晰的岗位职务体系搭建管理岗位序列专业技术岗位序列双通道所有员工均可以在通道内或跨通道实现职业发展,员工,定性文本
88采购合同履约率中国建设银行社会责任报告披露的采购合同履约率是指截至报告期末中国建设银行总行本部签署合同履约率无合同中止情况,供应链管理,定量文本
公司坚持节能减排清洁高效全员参与和谐生态的环境方针每季度对全体员工进行环保意识培训制定绿色制造覆盖所有场所和工序的节能管理制度,能源与资源消耗,定性文本
目前已累计发现CIA海莲花摩诃草美人鱼等境外APT组织个以看见网络攻击威胁的能力严守国家第一道网络安全防线全面守护网络空间安全,数据安全,定性文本
加强党的建设深化落实第一议题学习制度国投资本扎实推进学懂弄通做实习近平新时代中国特色社会主义思想和习近平总书记重要指示批示精神,组织架构与运作,定性文本
负责任供应链用户满意度相信优质的客户服务不仅能够为用户带来出色的使用体验更能够增强用户黏性和忠诚度推动公司在市场中的可持续发展,客户与消费者,定性文本
三环境保护践行绿色理念1环境保护公司的快速发展也离不开社会的发展和支持公司一直以来努力做到在生产经营的同时实现对社会环境的尽责,环境政策,定性文本
以ULEDX为代表的创新技术成为支撑海信视像在全球高端市场不断突破的钥匙有力助推海信大头在海外全球化战略坚定前行和整体规模增长,科技创新,定性文本
公司内设有健身房减压室理疗室等也会定期开展积极调试情绪心理健康等方面的专家讲座有效缓解HisenseTosHIBA心理焦虑情绪,员工,定性文本
战略及市场风险容忍度财务风险容忍度运营风险容忍度法律风险容忍度1234保证公司整体风险损失不超过上一年度经审计确定净资产的10,审计工作,定量文本
制定印发关于进一步完善专业技术岗位序列制度的实施意见及高层级专家管理选聘等制度规定形成科研人员专业技术岗位序列改革23制度体系,组织架构与运作,定性文本
资金管理系统方面完成系统的上线与验收实现票据担保保函发债信用证等功能的配置应用完成上市资金池9家银行和非上市资金池2家银行对接,科技创新,定量文本
公司设立客户服务质量投诉电话分子公司将公司客户服务质量投诉电话及本单位的投诉电话公示于业务大厅以及在业务大厅明显地方设立意见箱,客户与消费者,定性文本
参与志愿服务环保志愿服务2022年公司蔚蓝力量青年志愿服务队进一步深入贯彻落实生态文明思想在保护环境中勇当先锋共建清洁美丽世界,公益和志愿服务,定性文本
在过去几年间本地供应商承包商从参与后勤文具供应等比较小额的服务物资供应逐步扩展到参与小额工程等并积极参与了大型承包商的分包工作,供应链管理,定性文本
在新疆青河县投入启动送河狸宝宝回家计划实现科普教育生态环境保护濒危动物保护和农牧民增收有机结合探索建立人与自然和谐共生示范基地,生物多样性,定性文本
2022年中储恒科自主知识产权的新型非现场执法治超系统大量安装为全国多个地区的货运超载治理公路桥梁保护铁路运输安全等做出了贡献,知识产权保护,定性文本
生产用大宗生产物资进行采购招标非生产性物资严格执行比价制度关注市场行情不定期进行市场价格调查或引入新的供应商降低价格虚高的风险,供应链管理,定性文本
公司制定并不断完善工程建设项目管理规定物资供应管理规定招标管理规定等相关制度以及配套的实施办法和标准规范加强对供应商的合规管理,供应链管理,定性文本
2023年国内外宏观形势将更加复杂多变不稳定不确定难预料将成为常态发展机遇和风险挑战并存但能源行业全方位深刻变革的脚步不会停顿,能源与资源消耗,定性文本
P38反腐败10.企业应反对各种形式的贪污包括敲诈勒索和行贿受贿反舞弊建设预防商业贪污和商业贿赂防控境外贪腐舞弊开展反舞弊教育,反贪污反洗钱,定性文本
党建引领公司董事会充分发挥定战略作决策防风险作用不断完善法人治理结构提升自主经营决策能力有效激发内生动力和活力推动企业高质量发展,组织架构与运作,定性文本
该项目既是江西省修水县上市公司零的突破也是安信证券通过资本市场融资服务乡村振兴工作新的突破为老区经济发展助力乡村振兴提供强力支撑,农村帮扶,定性文本
中储在线服务平台升级方面为满足客户在线仓储服务需求系统实现与钢铁塑化仓储管理系统无缝对接客户可在线办理入库出库过户库存查询等业务,客户与消费者,定性文本
中储恒科与郑州大学郑州轻工业大学河南工业大学等高校和科研院所建立了产学研合作关系与高校共建就业实践基地共同推进科技进步和人才培养,促进就业,定性文本
建立重大经营风险常态化预警监测机制组织召开年度和季度风险评估会向公司董事会法治建设暨内控合规与风险管理委员会汇报重大风险管控情况,法律诉讼与外部处分,定性文本
安环管理模式保护环境精细管理加强集团层级管控力度夯实企业环境基础管理实现安环工作的靶向精准施治提升企业环境风险防范及绿色发展能力,环境政策,定性文本
基于深厚的行业积淀和产业洞察上海电气在校企联合中实现人才储备的前瞻性布局同时为行业的专业人才培养以及行业前沿突破创造了丰沃的土壤,促进就业,定性文本
作为智慧水务解决方案的提供商上海电气数智生态持续深耕智慧水务行业具有信息化系统咨询设计及软件开发能力以及强大的软硬件综合集成能力,科技创新,定性文本
1.乡村帮扶2022年中信证券累计对外捐赠5597万元投入乡村振兴共计5047万元捐赠资金执行率为100全面顺利完成各项公益工作,农村帮扶,定量文本
公司聚焦客户需求建立客户定期沟通机制完善客户档案管理积极对接并深入了解客户问题充分利用公司全业务链的优势向客户提供完整的解决方案,客户与消费者,定性文本
公司不断完善质量管理制度各直属单位对标新版质量管理体系标准和公司QHSE管理国际化行业化管理要求找出差距持续完善质量管理体系文件,产品质量,定性文本
2022年上海电气聚焦整体质量水平和重大质量事件影响管控以高质量的管理水平不断突破自我实现内部质量损失率下降产品良品率进一步提升,产品质量,定性文本
配送期间金属公司充分发挥供应链集成服务优势优化供应链各环节的资源调配克服运力不足原材料限产等问题带来的挑战高质量完成钢材配送服务,供应链管理,定性文本
本报告披露的财务数据来源于国投资本股份有限公司2022年度报告其他数据来自公司正式文件和统计报告经内部人工整理且通过相关部门审核,无关文本,无关文本
报告期内公司对供应商绩效管理控制程序潜在供应商注册管理控制程序供应商选择管理控制程序等重新修订发布对供应商规模审核提出更高的要求,供应链管理,定性文本
2.3客户至上服务致优层面B7反贪污一般披露有关防止贿赂勒索欺诈及洗黑钱的a政策及b遵守对发行人有重大影响的相关法律及规例的资料,反贪污反洗钱,定性文本
以建设人本理念践行示范中心为主线坚持公司改革发展成果与员工共享的理念建立健全办实事长效机制扎实推进办实事向基层一线延伸向纵深发展,员工,定性文本
上海电气为该项目提供了全部26台2MW级同步电机出色的产品质量以及优质的服务素养赢得了乌兹别克水利部监理公司和总包公司的高度赞誉,产品质量,定性文本
自2017年8月开展第一轮次巡察以来通过常规巡察专项巡察提级巡察和巡察回头看等方式实现对所属12家党组织巡察的有形覆盖与有效覆盖,组织架构与运作,定量文本
此次开设的培养项目再次升级为劳模工匠一线技能人才量身定制研究生课程班使劳模职工继续教育与产业升级企业发展技术革新实现更紧密的融合,员工,定性文本
绿色包装海信视像积极推广绿色包装理念包装材料严格遵守欧盟REACH指令包装和包装废弃物指令9462EC等法产品使用阶段律法规要求,原材料,定性文本
人才储备共营爱才敬才的良好氛围上海电气集团股份有限公司105105新产业赛道人才新政2022年集团聚焦战略性储备加大开放引才力度,员工,定性文本
生活关怀美好电气生活职工生活多精彩我们为员工工作之余的生活增添色彩举办多种多样的文体教育活动并为具有特长的职工提供展示风采的舞台,员工,定性文本
中国石油天然气股份有限公司2022年度环境社会和治理报告2重要性原则报告采用实质性议题分析方法选择内外部共同关注的重点ESG议题,无关文本,无关文本
前瞻性声明除历史事实之外所有将来有可能发生或将要发生的事件以及对事件的表述包括但不限于前提目标估算和商业计划均属于前瞻性声明范畴,无关文本,无关文本
人福医药严格按照公司法证券法上市公司治理准则以及中国证监会上海证券交易所发布的规范性文件要求持续完善公司法人治理结构规范公司运作,组织架构与运作,定性文本
案例公司以独特的本土化经营模式给当地带来数以百计的就业岗位为当地培养专业人才扎根社区广泛开展员工活动助力社区文化教育健康事业发展,促进就业,定性文本
植树造林项目第一阶段将在恩贾梅纳市周边300公顷绿化带种植30万棵树木现已完成20万棵树苗的种植主要树种包括尼姆树非洲桃花心木等,公益和志愿服务,定量文本
同时箭牌项目还成立了社区委员会将采出水处理净化后无偿提供给当地农民使用最大限度利用煤层水避免或尽量减少对当地环境社会和经济的影响,水资源,定性文本
截至2022年底来自公司员工退休职工热心公众和社会团队的捐款超过1788.98万元募集资金占中国绿化基金会全年网络捐资总额的47,公益和志愿服务,定量文本
神马牌尼龙66盐和神马牌己二酸均为河南省高新技术产品神马牌为龙头科研为重点质量为根本服务为保障的运营体系使全产业链优势进一步凸显,科技创新,定性文本
充分发挥一体化采购批量议价能力12种大宗物资原材料集中采购共降低成本500余万元完成纺丝油剂等5种重影响力神马品牌享誉国内外市场,原材料,定量文本
全年修订完善各类安全管理制度63余项先后下发或转发关于加强2021年安全生产工作的决定等文件83个为安全工作的顺利开展筑牢了根基,员工,定量文本
我们秉持减量化资源化无害化的原则从废弃物产生再利用无害化处置等方面入手严格落实固体废弃物的管理工作竭力减少自身废弃物对环境的影响,废弃物管理,定性文本
在工业康养物业等板块打造党建阵地给公司各级党组织开展党内组织生活提供固定的场所打造党员学习交流活动的前沿阵地营造浓厚党建文化氛围,组织架构与运作,定性文本
丽珠集团开展中高级管理层培训案例7.2.2培训发展健康元高度重视内部人才培育持续健全分层分类的多元化培训体系不断完善各项培养机制,员工,定性文本
国家网空捍卫者累计发现个境外APT组织捕获美国CIANSA对我国长达十余年的网络渗透攻击打破西方网络强国单向透明优势捍卫网空主权,数据安全,定性文本
公司建立安全应急响应团队服务体系由一批经验丰富技能熟练态度友好的专业人士组成能够快速响应用户需求为用户提供高质量个性化的解决方案,数据安全,定性文本
审计内容包括子公司经营活动中的工程管理财务及费用管理人事管理采购管理库存管理质量管理EHS管理合同管理等方面的内控管理及执行情况,审计工作,定性文本
迪马工业也建立了长效的季度面谈机制上下级之间每个季度不少于一次的正式面谈就工作目标目前存在的问题改进计划及措施等问题进行深入交流,员工,定性文本
其中丽珠集团自主研发的原料药多黏菌素E甲磺酸钠已获得欧洲CEP证书并通过了FDA审评其国内申报上市资料已提交目前处于注册审评阶段,原材料,定性文本
2022年12月撰写并推送叮咚你有一份迪马人抗疫宰羊指南待查收阳康恢复建议转阴后要知道的6件事等文章帮助员工恢复正常生活生产秩序,抗疫,定性文本
主要化工装置位于中国生产和销售合成树脂合成纤维合成橡胶基础有机化工品等各类石化产品境外项目只有参股的西布尔项目和在建的阿穆尔项目,原材料,定性文本
课程既包含了研发专业课仿制药新技术治疗的多层次与重点相结合技术平台程也加入了领导力创新工具等通用课程还有标是中国原研创新的领军者,科技创新,定性文本
复星医药集团在积极吸引外部优秀人才的同时注重加强内部培养和提升打造一支认同企业文化具有企业家精神的人才梯队构筑起本集团的人才高地,员工,定性文本
公司和员工包括劳务工临时工不得以任何理由任何形式在任何地域实施接受腐败贿赂欺诈洗钱等行为同时要求供应商承包商及服务商遵守上述规定,反贪污反洗钱,定性文本
该站的建成投用标志着中国石化继发展氢能光伏汽车充换电业务后开始进军重卡换电领域向油气氢电服综合能源服务商的转型又迈出了实质性一步,科技创新,定性文本
ROIEFESO工业4.0奖2022年11月30日ROIEFESO工业4.0奖获奖名单揭晓海尔集团旗下胶州和莱阳2家工厂同步入选,科技创新,定量文本
2022年9月19日海尔欧洲向塞尔维亚当地基金会BudiHuman发起慈善捐赠活动通过销售CandyFresco系列冰箱筹集善款,公益和志愿服务,定性文本
管理层全面风险管理执行领导小组负责在全面风险管理体系下识别气候变化相关风险机遇和应对措施向董事会审计委员会和可持续发展委员会汇报,应对气候变化,定性文本
自2019年起公司开启第六个战略阶段生态品牌战略阶段从全球大家电行业的领导者转型为物联网时代高端品牌场景品牌生态品牌的全球引领者,科技创新,定性文本
董事会发展战略与ESG委员会全面负责监督ESG事宜把控公司ESG策略方针及目标并定期听取ESG工作汇报并对公司ESG表现进行审阅,组织架构与运作,定性文本
ESG领导小组至少每年一次向发展战略与ESG委员会就ESG工作的执行进展情况进行报告委员会就听取的工作执行情况提供指导意见及建议,组织架构与运作,定性文本
该政策从防范不正当利益输送防范谋取不正当利益反商业贿赂等方面进行细化规定并完善了相关培训举报问责等内容进一步规范公司廉洁从业管理,反贪污反洗钱,定性文本
在遵循匿名打分和不透露个人具体评分的前提下由系统自动计算员工满意度调查结果并综合员工年龄入职时间员工职级等因素形成多维度统计分析,员工,定性文本
公司制定中信证券股份有限公司客户投诉举报处理制度建立健全客户投诉举报处理机制明确投诉举报受理处理流程不断规范公司投诉举报管理工作,举报制度,定性文本
上海电气集团股份有限公司31上海电气监事会作为公司的监督机构负责监督公司的经营情况财务状况以及董事高级管理人员履职情况并提出建议,组织架构与运作,定性文本
公司创造舒适的工作环境良好的居住条件丰富的文化生活有利于缓和员工工作情绪增强员工对企业的信赖感和满意度提高工作效率提升员工幸福感,员工,定性文本
18年来公司为健康快车公益事业累计捐赠1.84亿元开进全国18个省自治区的44个服务点帮助5万余名贫困白内障患者及其家庭走出困境,公益和志愿服务,定量文本
案例八大高碳行业气候风险压力测试本行采用国际主流方法基于内部评级模型进行逐户测算量化评估气候转型风险对客户财务成本信用评级的影响,应对气候变化,定性文本
物理风险包括急性风险如干旱飓风等极端天气造成的风险和慢性风险即可能引起海平面上升或长期酷热的较为长期的气候模式转变例如持续性高温,应对气候变化,定性文本
在全行范围内开展职工之家我爱我家双百工程建设工作每年支持各地分行为基层一线特别是老少边穷地区建设职工之家100家职工小家100家,员工,定量文本
主动增加社会就业岗位中储股份秉承以人为本的理念积极落实党中央国务院国资委扎实做好稳岗扩就业工作部署吸纳退役士兵高校应届毕业生等人群,促进就业,定性文本
与常规淡水基压裂液相比该体系可以用矿化度40000mgL以内的过滤海水直接配制节省淡水资源的同时解决淡水运输成本高储存成本高的问题,水资源,定性文本
强化供应商风险管理向供应商发布通知公告明确违法违规类型和处理标准不定期发布供应商限用清单对违规异常等受控供应商及时通报警示风险信息,供应链管理,定性文本
P49劳工标准3.企业应该维护结社自由承认劳资集体谈判的权利维护员工权益建立健全职工代表大会制度保障员工的知情权参与权表达权监督权,员工,定性文本
高度重视社会就业和相关招聘工作全年共完成高校实习生招聘138人次社会招聘152人次校园招聘21人次为应聘人员提供了30余种岗位类型,促进就业,定量文本
本次战略银行涵盖国有大行股份制银行以及部分省内城商行农商行等未来将在供应链金融平台化运作数字化对接客户资源共享等方面开启新一轮合作,供应链管理,定性文本
三六零根据高校使用场景管理架构业务类型等实际情况定制提供工业互联网攻击场景科研平台支持实验室面向工业互联网安全攻防的科研与教学活动,数据安全,定性文本
同时公司通过网站开设的投资者关系专栏以及上证e互动平台收集和答复投资者的咨询投诉和建议等诉求并及时发布和更新投资者关系管理相关信息,信息披露与投资者沟通,定性文本
截至2022年底合肥平台与甘肃物产进行业务对接佛山平台宁波平台等与欧冶云商进行业务对接天津平台唐山平台保持与山西华远路港集团的沟通,供应链管理,定性文本
组织开展法律合规培训包括经济制裁进出口管制反腐败反商业贿赂防范内幕交易等八类专项培训开展合规宣贯活动强化公司员工法治观念和合规精神,法律诉讼与外部处分,定性文本
总行召开安全生产委员会会议和安全生产工作会议研究部署安全生产工作动员全行上下进一步明确任务压实责任推动安全生产各项工作任务落地见效,员工,定性文本
减排目每年结合世界环境日世界水日和全国节能宣传周等在全行范围内开展低碳宣传活动开展碳达峰碳中和专业知识培训提升员工低碳节能生活意识,碳排放,定性文本
开展合规审计本行每年开展操作风险审计和反洗钱审计结合不同业务单元的风险评估结果动态确定员工行为操作风险反洗钱等审计覆盖形式和范围等,审计工作,定性文本
二建设银行选用的标准贵行编制2022年度社会责任报告绩效信息所采用的标准列于社会责任报告报告说明中的报告编制依据以下简称编制依据中,无关文本,无关文本
附录五ESG评级MSCIESG评级BBB2022年海尔智家在明晟公司MSCIESG评级中由BB提升至BBB处于中国家电行业最高水平,可持续认证,定量文本
财富全球最受赞赏公司排行榜2023年2月财富杂志发布2023年度全球最受赞赏公司排行榜海尔智家再次入选并首次登顶家庭设备和家居行业,可持续认证,定量文本
健康元控股子公司丽珠集团已建立系统性的人权尽职调查流程包括人权风险评估年度人权政策的执行情况审核及汇报以及制定并执行减缓及补救措施,员工,定性文本
绩效考核与反馈机制本集团制定了明确的绩效考核与反馈机制持续推行OKR和KPI双轨并行的管理体系每半年开展一次覆盖全体员工的绩效考核,员工,定性文本
2022年健康元控股子公司丽珠集团持续推进黄芪产业振兴项目在山西省大同市浑源县自建基地种植面积增加300亩并新增雇佣当地工人55名,促进就业,定量文本
集团各生产子公司在国家统一平台依法填报并申请排污许可证在许可证下发后在有效期内严格参照许可证要求进行排放坚决保证污染物排放的合规性,废弃物管理,定性文本
同时依据排污许可证要求和公司制定的自行监测方案新乡海滨每季度对废气展开人工检测确保废气相关数据的真实性与准确性推进废气高效管理工作,废弃物管理,定性文本
面对双碳新机遇上海电气积极谋划高质量高层次高影响力的战略合作持续通过优化合作模式创新合作思路保持自身在能源制造等诸多领域的先锋地位,碳排放,定性文本
布局十四五战略规划发布242022社会责任报告0507062022年7月26日由世界品牌实验室主办的第十九届世界品牌大会在北京举办,无关文本,无关文本
以集团重点领域的重大科研项目为载体开展跨产业集团的技术交流与合作探索建立跨产业集团的项目组织进一步整合集团科技资源促进产业协同创新,科技创新,定性文本
通过统一选种育苗统一机械作业统一中耕管理统一施肥和病虫害生物防控的水稻模式形成了以古生村为主覆盖洱海流域的万亩绿色有机水稻种植基地,生物多样性,定性文本
秉承开放协同合作共赢的理念上海电气携手70多家世界一流企业协同全球客户合作伙伴员工等创造者赋能全球工业创新稳步走绿色可持续发展之路,科技创新,定性文本
我们共计受理非诉类事务44起其中法律咨询16起处理来信3起代书20起非诉调解5起为职工们获得及时便利优质高效的法律援助服务提供保障,法律诉讼与外部处分,定量文本
报告期内公司严格按照上述制度加强内幕信息的管理未发现内幕信息知情人在影响公司股价的重大敏感信息披露前利用内幕信息买卖公司股票的情况,信息披露与投资者沟通,定量文本
公司禁止强迫劳动和聘用童工坚决保障劳动者人权若发生类似事件我们将严格依据法律法规以及公司规定进行严格处理妥善安置被强迫劳动者及童工,员工,定性文本
公司按照环保部门要求制定了环境自行监测方案并进行公示按照监测方案公司委托有资质的单位定期对相关污染物进行监测并将监测结果向社会公示,环境政策,定性文本
妇女节插画活动女员工精油情绪减压活动女员工权益保障知识竞赛活动活力青春女员工趣味运动会公司海外运营区也非常重视女性员工的权益与发展,员工,定性文本
我为碳中和种棵树活动本活动在中国绿化基金会的募资平台全民义务植树网面向中国石油员工及其他公众募集资金用于义务植树碳汇林碳中和林建设,公益和志愿服务,定性文本
3.因工死亡人数人环境社会和治理ESG报告披露的因工死亡人数是指2022年中国石油天然气股份有限公司在工业生产安全事故中死亡的人数,员工,定量文本
同时我们积极参与社会公益事业组织党员志愿者向多个一线防疫点支援力量积极帮助受疫情影响的社会群体做好社会抗疫工作发挥党员先锋模范作用,抗疫,定性文本
注射用美罗培南倍能健康元下属海滨制药重点产品倍能于2020年通过仿制药质量和疗效一致性评价为国内首个通过一致性评价的注射用美罗培南,产品质量,定量文本
海尔智家要求供应商合作伙伴遵循高要求的商业道德标准要求其制定正式的商业道德政策并与其签订诚信特别约定模块商现场互联廉政声明书等文件,反贪污反洗钱,定性文本
公司不断加强运营中产生的各类固体废物的管理在储存运输处置等各环节严格遵守国家相关法律法规防控环境污染风险不断提高废弃物综合利用效率,废弃物管理,定性文本
公司持续完善对业务流程关键环节的合规风险把控强化对客户账户开立交易回访等环节的服务合规管理同时公司就保障服务合规性积极开展员工培训,客户与消费者,定性文本
本年度公司聚焦不同领域采用不同形式举办了多种类型的ESG论坛向市场传递公司的ESG理念为来自全球各地的发行人与投资者搭建沟通的桥梁,信息披露与投资者沟通,定性文本
国投资本紧紧围绕国投之魂母文化以打造国内一流的央企上市金融控股平台为愿景建立起由企业愿景使命担当经营理念共同组成的特色企业文化理念,组织架构与运作,定性文本
国投上下肩负以投资创造更美好的未来的使命以成为世界一流资本投资公司为愿景将创新专业稳健人本的核心价值观融入公司管理和运营的方方面面,组织架构与运作,定性文本
89929597主要范畴层面一般披露及关键绩效指标披露索引B.社会营运惯例层面B5供应链惯例一般披露管理供应链的环境及社会风险政策,供应链管理,定性文本
该站依托一体化优势积极构建氢能交通应用场景站内实现管道输氢管道长1.7公里压力1.2兆帕在提高加氢站安全性的同时可有效降低能源损耗,能源与资源消耗,定性文本
公司持续优化碳资产管理信息系统核算模块提高企业数据填报工作效率完成全系统下属企业装置级别的碳盘查与碳核查工作为制定控排措施夯实基础,碳排放,定性文本
职业病危害风险管理员工职业健康管理公司高度重视职业健康风险识别评估和管控将职业病风险管理纳入公司全面风险管理体系实施一体化管理模式,员工,定性文本
除对公司主要战略进行统筹规划外其主要任务是分析全球经济和行业形式结合企业实际为公司环境社会和管治方面的政策制定提出可行性建议和意见,组织架构与运作,定性文本
结合监管要求重点关注企业在生产经营过程中对外部环境带来的影响在尽职调查中重点关注高环境风险领域项目的环境风险评分并加强信用风险管理,环境政策,定性文本
我们注重价值链的构建与萨尔塔省政府合作完成了6个生产项目的外部融资提案并协作制定生产合作项目促进洛斯安第斯大区的发展合作和外资管理,科技创新,定性文本
其中直接能源消耗主要来自矿山和冶炼厂的生产活动以及交通运输活动中使用的柴油汽油和煤炭间接能源消耗则主要来自矿山和冶炼厂所的外购电力,能源与资源消耗,定性文本
险评估定期对日常工作及接触职业危害因素报告期内职业病危害因素暴露岗位的岗位的员工安排职业健康体检井对结果保密员工体检覆盖率为100,员工,定量文本
2022年4月人福成田组织全员开展危险化学品企业安全风险隐患排查治理导则新固废法等法律法规培训增强全体员工的安全生产意识和知识储备,化学品安全,定性文本
不破坏原始植被和生态系统不使用保护动在实验动物生产及开展动物实验的过程中物案完成动物实验生产过程不使用保护植物和保护动物作为原材料,原材料,定性文本
公司业务人员接受了医药代表备案管理办法法规知识的培训接受了湖北省药品监督管理局关于药品购销领域不正之风治理工作提醒告诫书内容的培训,反不正当竞争,定性文本
强化监督评价机制2022年外部审计师毕马威对公司43家单位进行了内控审计覆盖货币资金管理资产管理工程项目管理合同管理信息系统等业务,审计工作,定量文本
国内信息安全团队与海外各区域信息安全接口人每两个月召开一次安全会议讨论的主题涵盖IoT安全钓鱼邮件演练及防范各区域信息安全规划等事宜,数据安全,定性文本
面报告同时积板采取措施制订不良反应在全生命周期的药物警戒管理方面风险管理计划井按照计划推进定期进行完善药物研发阶段的药物警戒科学支持,产品质量,定性文本
针对2022年度颁布的法律法期菌QC独证四个方面为企业关键生产电总部和各成员企业积极组织参与质量法质量人员提供专业知识培训和问题解答,产品质量,定性文本
在这个策略下我们还需要针对不同品类的特点灵活整合供应链和渠道资源比如小家电品类就未必需要自建工厂营销方式也可以更多借助线上数字化工具,供应链管理,定性文本
同时我们打通以旧换新与家电回收渠道方便用户在官网APP微信公众号等线上渠道提交废旧家电回收申请在线估价获得以旧机兑换新券积分或现金等,废弃物管理,定性文本
